clave_ent,clave_mun,nom_mun,pob_tot,ppob_analf,ppob_sp,pocup_sd_ne,pocup_see,pocup_sae,pviv_hac,pocup_cpt,ppob_min_5m_h,ppob_i2sm,imarg,gmarg,imarg_esc,lugar
1,1001,Aguascalientes,"797,010",2.59,11.48,0.49,0.31,0.77,25.25,1.42,8.73,29.9,-1.7684,Muy bajo,7.6904,"2,409"
1,1002,Asientos,"45,492",5.54,26.02,5.72,2.14,2.05,45.27,2.59,100,59.52,-0.4626,Medio,22.445,"1,591"
1,1003,Calvillo,"54,136",6.19,28.88,0.79,0.87,1.8,39.79,2.42,50.76,60.08,-0.754,Bajo,19.1524,"1,836"
1,1004,Cosío,"15,042",4.35,21.81,2.18,2,0.29,44.69,3.26,100,54.76,-0.6478,Medio,20.3522,"1,740"
1,1005,Jesús María,"99,590",3.76,18.21,1.26,1.17,1.43,39.16,2.59,45.17,31.15,-1.2622,Muy bajo,13.4105,"2,202"
1,1006,Pabellón de Arteaga,"41,862",4.11,18.74,0.94,0.98,1.45,41.38,1.54,31.6,36.3,-1.2451,Bajo,13.6028,"2,194"
1,1007,Rincón de Romos,"49,156",4.7,19.22,2.23,0.8,1.22,42.29,3.68,43.06,46.42,-1.0346,Bajo,15.982,"2,056"
1,1008,San José de Gracia,"8,443",3.45,18.93,6.33,1.85,2.6,41.65,1.53,100,50.43,-0.7534,Bajo,19.1593,"1,833"
1,1009,Tepezalá,"19,668",5.91,26.77,3.23,1.32,0.87,47.4,2.17,100,45.62,-0.6085,Medio,20.7962,"1,713"
1,1010,El Llano,"18,828",5.77,25.67,6.22,3.03,1.85,45.18,2.3,71.32,48.18,-0.6723,Medio,20.0756,"1,763"
1,1011,San Francisco de los Romo,"35,769",4.74,20.51,0.71,0.53,0.67,42.84,1.56,54.92,32.69,-1.1444,Bajo,14.7415,"2,130"
2,2001,Ensenada,"466,814",4.77,17.93,0.72,2.62,8.97,29.5,3.82,22.82,31.76,-1.3605,Muy bajo,12.2993,"2,266"
2,2002,Mexicali,"936,826",2.31,12.2,0.36,0.53,1.38,29.02,2.19,12.86,22.35,-1.7544,Muy bajo,7.8488,"2,405"
2,2003,Tecate,"101,079",2.48,15,0.81,2.5,10.64,29.04,3.28,29.39,24.57,-1.4951,Muy bajo,10.7789,"2,313"
2,2004,Tijuana,"1,559,683",2.11,11.71,0.36,0.58,2.24,28.87,3.99,3.23,18.24,-1.8166,Muy bajo,7.1457,"2,420"
